id_program;nama_program;pusdiklat;tahun
PR1063;LOKAKARYA PENGAWASAN NARKOTIKA PSIKOTROPIKA DAN PREKURSOR (NPP) KPPBC TMP C SABANG;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2019
PR1064;Lokakarya Pengawasan Narkotika, Psikotropika dan Prekusor (NPP) Kanwil DJBC Jawa Timur I;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2018
PR1065;LOKAKARYA PENGAWASAN NARKOTIKA, PSIKOTROPKA DAN PREKURSOR (NPP) KPPBC TIPE MADYA PABEAN JUANDA;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2019
PR1066;Lokakarya Pengelolaan Jurnal Elektronik;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2018
PR1067;Lokakarya Pengelolaan Kinerja dan Manajemen Risiko ;Pusat Pendidikan dan Pelatihan Keuangan Umum;2019
PR1068;Lokakarya Pengelolaan Kinerja Melalui Aplikasi E-Perfomance;Pusat Pendidikan dan Pelatihan Keuangan Umum;2018
PR1069;Lokakarya Pengelolaan Kinerja untuk Pegawai;Pusat Pendidikan dan Pelatihan Keuangan Umum;2018
PR1070;Lokakarya Pengelolaan Uang Persediaan Bagi Bendahara di Lingkungan Direktorat Jenderal Pajak;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2019
PR1071;Lokakarya Pengenalan Pengelolaan Kinerja;Pusat Pendidikan dan Pelatihan Keuangan Umum;2023
PR1072;Lokakarya Pengetahuan Hukum bagi Pegawai DJKN;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2019
PR1073;Lokakarya Penggalian Potensi di Wilayah Kanwil DJP Sumatera Selatan dan Kepulauan Bangka Belitung;Pusat Pendidikan dan Pelatihan Pajak;2018
PR1074;Lokakarya Penggalian Potensi Pajak Usaha Perdagangan: E-Commerce untuk Account Representatives;Pusat Pendidikan dan Pelatihan Pajak;2019
PR1075;Lokakarya Pengolahan Data Audit;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2018
PR1076;Lokakarya Pengolahan Data Audit Kepabeanan dan Cukai;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2019
PR1077;Lokakarya Pengolahan Data Audit Tingkat Dasar;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2019
PR1078;Lokakarya Penguatan Kapasitas Juru Sita;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2023
PR1079;Lokakarya Penguatan Kompetensi Bendahara Pengeluaran di Lingkungan Direktorat Jenderal Pajak;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2018
PR1080;Lokakarya Penguatan Kompetensi Pengelolaan Keuangan Negara pada  Satuan Kerja;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2018
PR1081;Lokakarya Penguatan Kompetensi Pengelolaan Keuangan Negara pada  Satuan Kerja di Lingkungan Direktorat Jenderal Pajak;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2018
PR1082;Lokakarya Penguatan, Revitalisasi, dan Optimalisasi Unit Kepatuhan Internal (PRO UKI) Kelas Manajerial;Pusat Pendidikan dan Pelatihan Keuangan Umum;2018
PR1083;Lokakarya Pengusulan dan Kolaborasi Pemeriksaan Bukti Permulaan;Pusat Pendidikan dan Pelatihan Pajak;2024
PR1084;Lokakarya Penilaian Aset Bersejarah (Blended Learning);Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2023
PR1085;Lokakarya Penilaian Dalam Rangka Optimalisasi Pengelolaan PBB P2 Dan PBB Sektor Perkebunan Di Luar Kawasan Kegiatan Usaha Perkebunan Yang Sudah Dikenakan PBB P3;Pusat Pendidikan dan Pelatihan Pajak;2019
PR1086;Lokakarya Penilaian Properti;Pusat Pendidikan dan Pelatihan Pajak;2019
PR1087;LOKAKARYA PENINDAKAN KEPABEANAN DAN CUKAI (CET);Pusat Pendidikan dan Pelatihan Bea dan Cukai;2018
PR1088;Lokakarya Penindakan Kepabeanan dan Cukai Eksekutif (Kehormatan);Pusat Pendidikan dan Pelatihan Bea dan Cukai;2018
PR1089;Lokakarya Peningkatan Kapasitas Pengguna Smart Classroom ;Pusat Pendidikan dan Pelatihan Keuangan Umum;2018
PR1090;Lokakarya Peningkatan Kompetensi Analis Intelijen  Kantor Wilayah DJBC Jawa Timur I;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2020
PR1091;Lokakarya Peningkatan Kompetensi Pegawai Kanwil DJKN Kalimantan Barat - Team Work Collaboration and Communication;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
PR1092;Lokakarya Peningkatan Kompetensi Penyusunan Laporan Pelaksanaan Anggaran di Lingkungan Unit Vertikal Direktorat Jenderal Perbendaharaan ;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2018
PR1093;Lokakarya Peningkatan Soft Competency Pegawai DJKN;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2018
PR1094;Lokakarya Penyamaan Materi DTSS Petugas Tempat Pelayanan Terpadu (TPT);Pusat Pendidikan dan Pelatihan Pajak;2018
PR1095;Lokakarya Penyamaan Materi Pelatihan Teknis Pajak Dasar;Pusat Pendidikan dan Pelatihan Pajak;2019
PR1096;Lokakarya Penyamaan Materi PTPD;Pusat Pendidikan dan Pelatihan Pajak;2019
PR1097;Lokakarya Penyegaran TIK dan Aplikasi SIMAN v.2 bagi PIC TIK DJKN;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2023
PR1098;Lokakarya Penyidikan Kepabeanan dan Cukai;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2018
PR1099;Lokakarya Penyidikan Tindak Pidana Pencucian Uang (TPPU) dengan Tindak Pidana Asal Kepabeanan dan Cukai Kantor Wilayah DJBC Jawa Tengah dan D.I. Yogyakarta;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2019
PR1100;Lokakarya Penyidikan Tindak Pidana Pencucian Uang (TPPU) dengan Tindak Pidana Asal Kepabeanan dan Cukai Kanwil DJBC Jawa Barat;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2019
PR1101;Lokakarya Penyidikan Tindak Pidana Pencucian Uang (TPPU) yang Berasal dari Tindak Pidana Asal (TPA) Kepabeanan dan Cukai;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2022
PR1102;Lokakarya Penyidikan Tindak Pidana Pencucian Uang (TPPU) yang Berasal dari Tindak Pidana Kepabeanan dan Cukai;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2020
PR1103;Lokakarya Penyusunan Angka Dasar dalam Penganggaran;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2018
PR1104;Lokakarya Penyusunan RUU Pelelangan;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2024
PR1105;Lokakarya Penyusunan Storyboard untuk Mendukung Implementasi Knowledge Capture di KLC;Pusat Pendidikan dan Pelatihan Keuangan Umum;2018
PR1106;Lokakarya Perlindungan Sosial;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2018
PR1107;Lokakarya Perpajakan untuk Dosen PKN STAN;Pusat Pendidikan dan Pelatihan Pajak;2019
PR1108;Lokakarya Perpajakan untuk Widyaiswara;Pusat Pendidikan dan Pelatihan Pajak;2018
PR1109;Lokakarya Pertambangan Batubara;Pusat Pendidikan dan Pelatihan Pajak;2019
PR1110;Lokakarya Petugas Sidang dan Penelaah Keberatan;Pusat Pendidikan dan Pelatihan Pajak;2018
PR1111;LOKAKARYA PRA PERADILAN ATAS PENINDAKAN KEPABEANAN DAN CUKAI KANTOR WILAYAH DJBC KHUSUS KEPULAUAN RIAU;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2018
PR1112;Lokakarya Project Appraisal Methods;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2018
PR1113;Lokakarya Prosedur dan Teknik Audit;Pusat Pendidikan dan Pelatihan Keuangan Umum;2018
PR1114;Lokakarya Proses Bisnis DJP untuk Pegawai Direktorat Jenderal Bea dan Cukai;Pusat Pendidikan dan Pelatihan Pajak;2018
PR1115;Lokakarya Public Speaking;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2018
PR1116;Lokakarya Reviu Pelaksanaan Anggaran Pada Masyarakat Terasing: Suku Baduy;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2018
PR1117;LOKAKARYA RULES OF ORIGIN;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2018
PR1118;LOKAKARYA SERVICE LEVEL AGREEMENT (SLA) KANTOR PENGAWASAN DAN PELAYANAN BEA DAN CUKAI TIPE MADYA PABEAN (KPPBC TMP) C JAYAPURA;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2018
PR1119;LOKAKARYA SERVICE LEVEL AGREEMENT (SLA) KANTOR WILAYAH DJBC JAWA TIMUR II;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2018
PR1120;Lokakarya Service Level Agreement (SLA) Kantor Wilayah DJBC Khusus Kepualauan Riau ;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2018
PR1121;Lokakarya Service Level Agreement (SLA) KPPBC Tipe Madya Pabean A Purwakarta;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2018
PR1122;Lokakarya Service Level Agreement (SLA) KPPBC Tipe Madya Pabean C Bojonegoro ;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2018
PR1123;Lokakarya Service Level Agreement (SLA) KPPBC Tipe Madya Pabean Juanda ;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2018
PR1124;Lokakarya Service Level Agreement (SLA) KPPBC TMP B Banjarmasin;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2018
PR1125;Lokakarya Service Level Agreement for Customs Officer;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2018
PR1126;LOKAKARYA SERVICE LEVEL AGREEMENT KPPBC TMP A BANDUNG;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2018
PR1127;Lokakarya Service Level Agreement KPPBC TMP C Gorontalo;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2018
PR1128;Lokakarya Sistem Akuntansi Pemerintahan Berbasis Akrual Tingkat Manajerial;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2018
PR1129;LOKAKARYA SOUNDING CRUDE PALM OIL KPPBC TMP B DUMAI;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2018
PR1130;Lokakarya Special Enforcement Team (SET);Pusat Pendidikan dan Pelatihan Bea dan Cukai;2018
PR1131;Lokakarya Survei Kelaiklautan Bidang Teknik Kapal Patroli Bea dan Cukai Pangkalan Sarana Operasi Bea dan Cukai Tipe B Batam;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2019
PR1132;Lokakarya Tata Cara Penanganan dan Pemeriksaan Barang Ekspor  Berupa CPO serta Produk Turunannya KPPBC Tipe Madya Pabean C Kuala Tanjung;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2019
PR1133;Lokakarya Teknik dan Metode Pencarian untuk Menemukan Bukti Permulaan;Pusat Pendidikan dan Pelatihan Pajak;2022
PR1134;LOKAKARYA TEKNIK PENGUKURAN JUMLAH  BARANG CURAH DAN PENGAMBILAN CONTOH  KPPBC TMP C AMBON;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2018
PR1135;LOKAKARYA TEKNIK PENGUKURAN JUMLAH BARANG CURAH  DAN PENGAMBILAN CONTOH PADAT DAN CAIR  KPPBC TMP C AMAMAPARE;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2018
PR1136;LOKAKARYA TEKNIK PENGUKURAN JUMLAH BARANG CURAH DAN PENGAMBILAN CONTOH PADA KANWIL DJBC KALIMANTAN BAGIAN SELATAN;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2018
PR1137;Lokakarya Teknik Pengukuran Jumlah Barang Curah dan Pengambilan Contoh Padat dan Cair KPPBC Tipe Madya Pabean B Bandar Lampung;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2018
PR1138;Lokakarya Teknik Pengukuran Jumlah Barang Curah dan Pengembalian Contoh Padat dan Cair KPPBC Tipe Madya Pabean C Bengkulu;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2018
PR1139;Lokakarya Teknik Wawancara bagi Auditor di Lingkungan Inspektorat Jenderal;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2022
PR1140;Lokakarya Teknis dan Administrasi Penindakan di Bidang Kepabeanan dan Cukai Kantor Wilayah DJBC Jawa Barat;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2019
PR1141;Lokakarya Teknis Pemeriksaan dan Administrasi Penyidikan Kanwil DJBC Jawa Barat;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2018
PR1142;Lokakarya Tematik Jurnalistik;Pusat Pendidikan dan Pelatihan Keuangan Umum;2018
PR1143;Lokakarya Tentang BA BUN: Pengelolaan Investasi Pemerintah;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2018
PR1144;Lokakarya Tentang Evaluasi Informasi Kinerja Anggaran Kementerian/Lembaga (Sebagai Bagian dari Evaluasi Aspek Konteks);Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2018
PR1145;Lokakarya Tentang Fungsi K/L dI Bidang Pembangunan Manusia dan Kebudayaan: Pengentasan Kemiskinan;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2018
PR1146;Lokakarya Tentang Fungsi K/L Di Bidang Politik, Hukum, Pertahanan, dan Keamanan: Peningkatan Kemampuan Pertahanan Dan Keamanan Negara;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2018
PR1147;Lokakarya The Revised Kyoto Convention Untuk Pegawai Administrasi Pabean Kawasan Asia Pasifik;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2022
PR1148;Lokakarya The Role of OECD in Internasional Taxation;Pusat Pendidikan dan Pelatihan Pajak;2019
PR1149;Lokakarya TIK bagi CIO Kantor Vertikal  DJKN;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2020
PR1150;Lokakarya Tindak Pidana di Bidang Pajak;Pusat Pendidikan dan Pelatihan Pajak;2018
PR1151;Lokakarya Tindak Pidana Pencucian Uang (TPPU) dan Tindak Pidana Kepabeanan dan Cukai;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2018
PR1152;Lokakarya Training of Trainer Service Level Agreement Kanwil DJBC Jawa Barat;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2018
PR1153;Lokakarya Transnational Organized Crimes;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2019
PR1154;Lokakarya Updating Materi dan Metode Pembelajaran bagi Pengajar Pelatihan Penyiapan Tenaga Pendamping Penyusunan Laporan Keuangan Kementerian/Lembaga;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2018
PR1155;Lokakarya Updating Pelaksanaan Pengadaan Barang/Jasa Pemerintah;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2018
PR1156;Lokakarya Updating Pengadaan Barang/Jasa Pemerintah (Perpres 16 Tahun 2018);Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2018
PR1157;Magang MSIB;Politeknik Keuangan Negara STAN;2023
PR1158;Mekanisme Impor Barang Kiriman Bernilai s.d. USD 1.500 (Microlearning Seri 2 dari Program E-Learning Impor Barang Kiriman);Pusat Pendidikan dan Pelatihan Bea dan Cukai;2023
PR1159;Mekanisme Impor barang Kiriman dengan Dokumen PIBK   (Microlearning Seri 4 dari Program E-Learning Impor Barang Kiriman);Pusat Pendidikan dan Pelatihan Bea dan Cukai;2023
PR1160;Mekanisme Impor barang Kiriman Kategori Khusus  (Microlearning Seri 3 dari Program E-Learning Impor Barang Kiriman);Pusat Pendidikan dan Pelatihan Bea dan Cukai;2023
PR1161;Menjadi Keluarga Bebas Finansial Dengan Perencanaan Keuangan yang Efektif;Pusat Pendidikan dan Pelatihan Keuangan Umum;2023
PR1162;Microlearning Archimate Framework;Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
PR1163;Microlearning Architecture Development Method - Phase A, B, C, D, and E;Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
PR1164;Microlearning Architecture Development Method - Phase F, G, and H;Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
PR1165;Microlearning Badan Layanan Umum Service and Government Maturity  Rating (BLUSmart) Assesment and Evaluation Tools ;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2024
PR1166;Microlearning Bagan Akun Standar (BAS);Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2021
PR1167;Microlearning Building Data Analytics Teams;Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
PR1168;Microlearning Buku Besar dan Neraca Percobaan ;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
PR1169;Microlearning Business Process Model and Notation Overview;Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
PR1170;Microlearning Cascading & Alignment;Pusat Pendidikan dan Pelatihan Keuangan Umum;2019
PR1171;Microlearning Cascading dan Alignment;Pusat Pendidikan dan Pelatihan Keuangan Umum;2024
PR1172;Microlearning Data Analytics and Decision Making I;Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
PR1173;Microlearning Data Analytics and Decision Making II;Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
PR1174;Microlearning Data Analytics Framework I;Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
PR1175;Microlearning Data Analytics Framework II;Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
PR1176;Microlearning Data Governance;Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
PR1177;Microlearning Dialog Kinerja Organisasi dan Dialog Kinerja Individu;Pusat Pendidikan dan Pelatihan Keuangan Umum;2019
PR1178;Microlearning Dialog Kinerja Organisasi dan Perubahan Perjanjian Kinerja;Pusat Pendidikan dan Pelatihan Keuangan Umum;2023
PR1179;Microlearning Dialog Kinerja Pegawai (Umpan Balik Berkelanjutan dan Pembinaan Kinerja);Pusat Pendidikan dan Pelatihan Keuangan Umum;2023
PR1180;Microlearning Domain Arsitektur & Metodologi Enterprise Architecture;Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
PR1181;Microlearning Dual Used Bahan Kimia;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2020
PR1182;Microlearning Esensi Analisis Anggaran ;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
PR1183;Microlearning Gambaran Umum dan Jurnal Anggaran (SAKTI);Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
PR1184;Microlearning HKT dan Perilaku Kerja;Pusat Pendidikan dan Pelatihan Keuangan Umum;2023
PR1185;Microlearning Hubungan Media dan Kelembagaan Masyarakat;Pusat Pendidikan dan Pelatihan Keuangan Umum;2020
PR1186;Microlearning Implementasi Kebijakan Penganggaran Tahun Anggaran 2021;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2020
PR1187;Microlearning Implementasi Visualisasi Data;Pusat Pendidikan dan Pelatihan Keuangan Umum;2020
PR1188;Microlearning Informasi Kinerja Penganggaran;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2020
PR1189;Microlearning Informasi Umum mengenai Mekanisme Penetapan Jabatan dan Peringkat bagi Pelaksana;Pusat Pendidikan dan Pelatihan Keuangan Umum;2024
PR1190;Microlearning Introduction to Archimate;Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
PR1191;Microlearning Introduction to Architecture Development Method;Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
PR1192;Microlearning Introduction to Data Science I;Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
PR1193;Microlearning Introduction to Data Science II;Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
PR1194;Microlearning Introduction to TOGAF;Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
PR1195;Microlearning Jenis dan Format Naskah Dinas Khusus Bagian I (Perjanjian, Surat Kuasa, Berita Acara, dan Surat Keterangan);Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
PR1196;Microlearning Jenis dan Format Naskah Dinas Khusus Bagian II (Pengumuman, Laporan, Telaahan Staf, dan Notula);Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
PR1197;Microlearning Jenis dan Format Naskah Dinas Korespondensi;Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
PR1198;Microlearning Jenis dan Format Naskah Dinas Penetapan dan Naskah Dinas Penugasan;Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
PR1199;Microlearning Jenis dan Format Naskah Dinas Pengaturan;Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
PR1200;Microlearning Jurnal Penyesuaian;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
PR1201;Microlearning Jurnal Transaksi Belanja LS (SAKTI);Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
PR1202;Microlearning Jurnal Transaksi Belanja UP (SAKTI);Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
PR1203;Microlearning Jurnal Transaksi Pendapatan (SAKTI);Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
PR1204;Microlearning Kebijakan Akuntansi Aset Lainnya dan Amortisasi;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2020
PR1205;Microlearning Kebijakan Akuntansi Aset Tetap dan Penyusutan;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2020
PR1206;Microlearning Kebijakan Akuntansi Kas, Piutang, Persediaan, dan Beban Persediaan;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2020
PR1207;Microlearning Kebijakan Akuntansi Pendapatan, Beban, Belanja, dan Transfer;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2021
PR1208;Microlearning Kebijakan Akuntansi Utang;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2020
PR1209;Microlearning Kebijakan Ekonomi;Pusat Pendidikan dan Pelatihan Keuangan Umum;2020
PR1210;Microlearning Kebijakan Fiskal dan Pembiayaan APBN;Pusat Pendidikan dan Pelatihan Keuangan Umum;2019
PR1211;Microlearning Kebijakan Pembiayaan Hijau (Green Financing);Pusat Pendidikan dan Pelatihan Keuangan Umum;2024
PR1212;Microlearning Kerangka Kerja Enterprise Architecture Kementerian Keuangan;Pusat Pendidikan dan Pelatihan Keuangan Umum;2022
PR1213;Microlearning Kesejahteraan dan Ketenagakerjaan;Pusat Pendidikan dan Pelatihan Keuangan Umum;2020
PR1214;Microlearning Kompetensi Manajerial dan Sosial Kultural Level 4 (Advance): Integritas;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2024
PR1215;Microlearning Kompetensi Manajerial dan Sosial Kultural Level 4 (Advance): Kerjasama;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2024
PR1216;Microlearning Kompetensi Manajerial dan Sosial Kultural Level 4 (Advance): Komunikasi;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2024
PR1217;Microlearning Kompetensi Manajerial dan Sosial Kultural Level 4 (Advance): Mengelola Perubahan;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2024
PR1218;Microlearning Kompetensi Manajerial dan Sosial Kultural Level 4 (Advance): Orientasi Pada Hasil;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2024
PR1219;Microlearning Kompetensi Manajerial dan Sosial Kultural Level 4 (Advance): Pelayanan Publik;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2024
PR1220;Microlearning Kompetensi Manajerial dan Sosial Kultural Level 4 (Advance): Pengambilan Keputusan;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2024
PR1221;Microlearning Kompetensi Manajerial dan Sosial Kultural Level 4 (Advance): Pengantar Kompetensi;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2024
PR1222;Microlearning Kompetensi Manajerial dan Sosial Kultural Level 4 (Advance): Pengembangan Diri dan Orang Lain;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2024
PR1223;Microlearning Kompetensi Manajerial dan Sosial Kultural Level 4 (Advance): Perekat Bangsa;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2024
PR1224;Microlearning Kompetensi Manajerial Kerjasama;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
PR1225;Microlearning Kompetensi Manajerial Komunikasi;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
PR1226;Microlearning Kompetensi Manajerial Leadership;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
PR1227;Microlearning Kompetensi Manajerial Orientasi Pada Hasil;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
PR1228;Microlearning Kompetensi Manajerial Pemecahan Masalah;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
PR1229;Microlearning Kompetensi Manajerial Planning and Organizing;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
PR1230;Microlearning Kompetensi Manajerial Quality Improvement;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2021
PR1231;Microlearning Konsep dan Ketentuan Umum Manajemen Kinerja;Pusat Pendidikan dan Pelatihan Keuangan Umum;2023
PR1232;Microlearning Konsep Dasar dan Proses Bisnis Kehumasan;Pusat Pendidikan dan Pelatihan Keuangan Umum;2023
PR1233;Microlearning Konsep Dasar Ekonomi Makro;Pusat Pendidikan dan Pelatihan Keuangan Umum;2020
PR1234;Microlearning Konsep Dasar Kehumasan;Pusat Pendidikan dan Pelatihan Keuangan Umum;2020
PR1235;Microlearning Konsep Dasar Tata Naskah Dinas;Pusat Pendidikan dan Pelatihan Keuangan Umum;2020
PR1236;Microlearning Konsep Pengelolaan Surat Berharga Negara (SBN);Pusat Pendidikan dan Pelatihan Keuangan Umum;2021
PR1237;Microlearning Konsep Pengolahan Data;Pusat Pendidikan dan Pelatihan Keuangan Umum;2020
PR1238;Microlearning Konsep, Pengertian, dan Tujuan Jurnal Standar;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
PR1239;Microlearning Konteks Dalam Visualisasi Data;Pusat Pendidikan dan Pelatihan Keuangan Umum;2020
PR1240;Microlearning Kontrak Kinerja;Pusat Pendidikan dan Pelatihan Keuangan Umum;2019
PR1241;Microlearning Kontrak Kinerja Komplemen;Pusat Pendidikan dan Pelatihan Keuangan Umum;2019
PR1242;Microlearning Laporan Arus Kas dan Catatan atas Laporan Keuangan;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2022
PR1243;Microlearning Laporan Keuangan Pemerintah Konsolidasian;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2023
PR1244;Microlearning Laporan Operasional, Laporan Perubahan Ekuitas, dan Neraca;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2021
PR1245;Microlearning Laporan Realisasi Anggaran dan Laporan Perubahan Saldo Anggaran Lebih;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2021
PR1246;Microlearning Latar Belakang Redesain Sistem Penganggaran;Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan;2020
PR1247;Microlearning Layanan Informasi;Pusat Pendidikan dan Pelatihan Keuangan Umum;2023
PR1248;Microlearning Legalitas atau Perijinan UMKM;Pusat Pendidikan dan Pelatihan Keuangan Umum;2024
