id_program;nama_program;pusdiklat;tahun
PR51;Diklat Pengelolaan Kinerja;Pusat Pendidikan dan Pelatihan Keuangan Umum;2018
PR52;Diklat Peningkatan Kompetensi (DPK) Eselon IV;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2018
PR53;Diklat Peningkatan Kompetensi (DPK) Middle Management ;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2018
PR54;Diklat Peningkatan Kompetensi (DPK) Pelaksana;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2018
PR55;Diklat Peningkatan Kompetensi Kreativitas dan Inovasi;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2018
PR56;Diklat Peningkatan Kompetensi Motivasi dan Pemberdayaan (DPK MP);Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2018
PR57;Diklat Peningkatan Kompetensi Pemecahan Masalah dan Pengambilan Keputusan (PMPK);Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2018
PR58;Diklat Peningkatan Kompetensi PIC TIK;Pusat Pendidikan dan Pelatihan Keuangan Umum;2018
PR59;Diklat Peningkatan Kompetensi Public Speaking for Professional Leaders;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2018
PR60;Diklat Peningkatan Kompetensi Transformational Leadership (DPK TL);Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2018
PR61;Diklat Penjenjangan Auditor Muda;Pusat Pendidikan dan Pelatihan Keuangan Umum;2019
PR62;Diklat Persiapan Purnabhakti;Pusat Pendidikan dan Pelatihan Keuangan Umum;2018
PR63;Diklat Pranata Komputer Ahli;Pusat Pendidikan dan Pelatihan Keuangan Umum;2018
PR64;Diklat Pranata Komputer Terampil;Pusat Pendidikan dan Pelatihan Keuangan Umum;2019
PR65;Diklat Risk Based Audit;Pusat Pendidikan dan Pelatihan Keuangan Umum;2018
PR66;Diklat Sekretaris Pimpinan;Pusat Pendidikan dan Pelatihan Keuangan Umum;2018
PR67;Diklat Tata Naskah Dinas;Pusat Pendidikan dan Pelatihan Keuangan Umum;2018
PR68;Diklat Teknik Audit Berbantuan Komputer Tingkat Dasar;Pusat Pendidikan dan Pelatihan Keuangan Umum;2018
PR69;Diklat Teknik Intelijen Tingkat Dasar;Pusat Pendidikan dan Pelatihan Keuangan Umum;2018
PR70;Diklat Teknis Bahasa Asing;Pusat Pendidikan dan Pelatihan Kepemimpinan dan Manajerial;2018
PR71;Diklat Teknis Substantif Spesialisasi Pemeriksa Pajak Daerah ;Pusat Pendidikan dan Pelatihan Pajak;2018
PR72;Diklat Training Need Analysis;Pusat Pendidikan dan Pelatihan Keuangan Umum;2018
PR73;DTS Perpajakan Menengah ;Pusat Pendidikan dan Pelatihan Pajak;2018
PR74;DTSD Hubungan Keuangan Pusat dan Daerah;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2018
PR75;DTSD Kekayaan Negara Tingkat I ;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2018
PR76;DTSD KEPABEANAN DAN CUKAI;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2018
PR77;DTSS Account Representative Dasar;Pusat Pendidikan dan Pelatihan Pajak;2018
PR78;DTSS ADMINISTRASI PENYIDIKAN KEPABEANAN DAN CUKAI;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2018
PR79;DTSS Analis IDLP Dasar;Pusat Pendidikan dan Pelatihan Pajak;2018
PR80;DTSS Analisis Penggunaan Tertinggi dan Terbaik;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2018
PR81;DTSS Aplikasi Lelang Tingkat KPKNL;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2018
PR82;DTSS Aplikasi SIMAN Tingkat Dasar;Pusat Pendidikan dan Pelatihan Kekayaan Negara dan Perimbangan Keuangan;2018
PR83;DTSS Audit Internal dan Penjaminan Mutu Hasil Pengujian Laboratorium Bea dan Cukai;Pusat Pendidikan dan Pelatihan Bea dan Cukai;2018
