nama_pelatihan;penyelenggara;tahun
E-Learning Pajak Penghasilan (PPh) Dasar (Seri);Pusat Pendidikan dan Pelatihan Pajak;2020
E-Learning Pajak Pertambahan Nilai dan Pajak Penjualan atas Barang Mewah (PPN dan PPn BM) Dasar (Open Access);Pusat Pendidikan dan Pelatihan Pajak;2020
E-Learning Pajak Pertambahan Nilai dan Pajak Penjualan atas Barang Mewah (PPN dan PPn BM) Dasar (Seri);Pusat Pendidikan dan Pelatihan Pajak;2020
E-Learning Pelaporan SPT Tahunan bagi ASN Kemenkeu (Open Access);Pusat Pendidikan dan Pelatihan Pajak;2020
E-Learning Pembaruan Sistem Inti Administrasi Perpajakan (PSIAP) Seri Digital Mindset;Pusat Pendidikan dan Pelatihan Pajak;2021
E-Learning Pembaruan Sistem Inti Administrasi Perpajakan (PSIAP) Seri Unlocking Mindset;Pusat Pendidikan dan Pelatihan Pajak;2021
E-learning Pembekalan Secondment: Proses Bisnis Perpajakan;Pusat Pendidikan dan Pelatihan Pajak;2020
E-Learning Pemotongan dan Pemungutan Pajak Penghasilan (Potput PPh) Dasar (Open Access);Pusat Pendidikan dan Pelatihan Pajak;2020
E-Learning Pemotongan dan Pemungutan Pajak Penghasilan (Potput PPh) Dasar (Seri);Pusat Pendidikan dan Pelatihan Pajak;2020
E-learning Penagihan Pajak Daerah (Open Access-Public);Pusat Pendidikan dan Pelatihan Pajak;2020
E-Learning Pengantar E-Audit Perpajakan;Pusat Pendidikan dan Pelatihan Pajak;2024
E-Learning Pengantar Fungsional Penyuluh Pajak Dasar;Pusat Pendidikan dan Pelatihan Pajak;2021
E-learning Pengantar Hukum dan Teknologi Informasi untuk Forensik Digital Perpajakan;Pusat Pendidikan dan Pelatihan Pajak;2020
E-Learning Pengantar Pemeriksaan Bukti Permulaan ;Pusat Pendidikan dan Pelatihan Pajak;2020
E-learning Pengantar Pemeriksaan Bukti Permulaan (Open Access-Kemenkeu);Pusat Pendidikan dan Pelatihan Pajak;2020
E-learning Pengantar Perpajakan Internasional Dasar (Open Access);Pusat Pendidikan dan Pelatihan Pajak;2020
E-Learning Pengantar Perpajakan Internasional Dasar (Seri);Pusat Pendidikan dan Pelatihan Pajak;2020
E-Learning Pengawasan atas DJP: Pengenalan Proses Bisnis Manajemen Data dan Informasi serta Aplikasi CoreTax Modul Pendaftaran, Pengelolaan SPT, Pembayaran, dan TAM;Pusat Pendidikan dan Pelatihan Pajak;2024
E-Learning Pengawasan atas DJP: Pengenalan Proses Bisnis To Be Business Intelligence;Pusat Pendidikan dan Pelatihan Pajak;2024
E-Learning Pengawasan atas DJP: Pengenalan Proses Bisnis To Be Compliance Risk Management;Pusat Pendidikan dan Pelatihan Pajak;2024
E-Learning Pengawasan atas DJP: Pengenalan Proses Bisnis To Be Ekstensifikasi;Pusat Pendidikan dan Pelatihan Pajak;2024
E-Learning Pengawasan atas DJP: Pengenalan Proses Bisnis To Be Intelijen Perpajakan (Operational Intelligence);Pusat Pendidikan dan Pelatihan Pajak;2024
E-Learning Pengawasan atas DJP: Pengenalan Proses Bisnis To Be Keberatan dan Banding;Pusat Pendidikan dan Pelatihan Pajak;2024
E-Learning Pengawasan atas DJP: Pengenalan Proses Bisnis To Be Knowledge Management;Pusat Pendidikan dan Pelatihan Pajak;2024
E-Learning Pengawasan atas DJP: Pengenalan Proses Bisnis To Be Layanan Perpajakan;Pusat Pendidikan dan Pelatihan Pajak;2024
E-Learning Pengawasan atas DJP: Pengenalan Proses Bisnis To Be Non Keberatan;Pusat Pendidikan dan Pelatihan Pajak;2024
E-Learning Pengawasan atas DJP: Pengenalan Proses Bisnis To Be Pembayaran;Pusat Pendidikan dan Pelatihan Pajak;2024
E-Learning Pengawasan atas DJP: Pengenalan Proses Bisnis To Be Pemeriksaan;Pusat Pendidikan dan Pelatihan Pajak;2024
E-Learning Pengawasan atas DJP: Pengenalan Proses Bisnis To Be Penagihan;Pusat Pendidikan dan Pelatihan Pajak;2024
E-Learning Pengawasan atas DJP: Pengenalan Proses Bisnis To Be Penegakan Hukum Pidana Bidang Perpajakan (Criminal Investigation);Pusat Pendidikan dan Pelatihan Pajak;2024
E-Learning Pengawasan atas DJP: Pengenalan Proses Bisnis To Be Pengawasan;Pusat Pendidikan dan Pelatihan Pajak;2024
E-Learning Pengawasan atas DJP: Pengenalan Proses Bisnis To Be Pengelolaan SPT;Pusat Pendidikan dan Pelatihan Pajak;2024
E-Learning Pengawasan atas DJP: Pengenalan Proses Bisnis To Be Penilaian;Pusat Pendidikan dan Pelatihan Pajak;2024
E-Learning Pengawasan atas DJP: Pengenalan Proses Bisnis To Be Registrasi;Pusat Pendidikan dan Pelatihan Pajak;2024
E-Learning Pengawasan atas DJP: Pengenalan Proses Bisnis To Be Taxpayer Account Management;Pusat Pendidikan dan Pelatihan Pajak;2024
E-learning Pengisian SPT Tahunan (Open Access-Public);Pusat Pendidikan dan Pelatihan Pajak;2020
E-Learning Penilaian Properti, Pajak Bumi, dan Bangunan (PBB) P3L, dan Bea Meterai Dasar (Open Access);Pusat Pendidikan dan Pelatihan Pajak;2020
E-Learning Penilaian Properti, Pajak Bumi, dan Bangunan (PBB) P3L, dan Bea Meterai Dasar (Seri);Pusat Pendidikan dan Pelatihan Pajak;2020
E-learning Penilaian Properti, PBB P3L dan Bea Meterai Dasar (Open Access-Public);Pusat Pendidikan dan Pelatihan Pajak;2020
E-learning Penilaian Properti, PBB P5L, dan Bea Meterai (Open Access-Public);Pusat Pendidikan dan Pelatihan Pajak;2021
E-Learning Penilaian Properti, PBB P5L, dan Bea Meterai (Seri);Pusat Pendidikan dan Pelatihan Pajak;2022
E-Learning Perpajakan bagi Instansi  Pemerintah (Open Access);Pusat Pendidikan dan Pelatihan Pajak;2023
E-learning Perpajakan Internasional;Pusat Pendidikan dan Pelatihan Pajak;2021
E-Learning Perpajakan Internasional Tingkat Dasar (Open Access);Pusat Pendidikan dan Pelatihan Pajak;2020
E-Learning Perpajakan untuk Inspektorat Jenderal;Pusat Pendidikan dan Pelatihan Pajak;2020
E-Learning Perpajakan untuk Pegawai Non DJP;Pusat Pendidikan dan Pelatihan Pajak;2020
E-Learning Perpajakan untuk Pegawai Non DJP (DJBC);Pusat Pendidikan dan Pelatihan Pajak;2021
E-Learning Perpajakan untuk Pegawai Non DJP (Sekretariat Jenderal);Pusat Pendidikan dan Pelatihan Pajak;2022
E-Learning Perpajakan untuk Pegawai Non DJP (Sekretariat Pengadilan Pajak);Pusat Pendidikan dan Pelatihan Pajak;2021
E-learning Potput PPh Dasar (Open Access-Public);Pusat Pendidikan dan Pelatihan Pajak;2020
E-learning PPh Dasar (Open Access-Public);Pusat Pendidikan dan Pelatihan Pajak;2020
E-learning PPN dan PPn BM Dasar (Open Access-Public);Pusat Pendidikan dan Pelatihan Pajak;2020
E-learning Proses Bisnis Business Intelligence;Pusat Pendidikan dan Pelatihan Pajak;2022
E-learning Proses Bisnis Compliance Risk Management;Pusat Pendidikan dan Pelatihan Pajak;2022
E-Learning Proses Bisnis Direktorat Jenderal Pajak untuk Pegawai Direktorat Jenderal Bea dan Cukai;Pusat Pendidikan dan Pelatihan Pajak;2023
E-Learning Proses Bisnis DJP untuk Pegawai DJBC;Pusat Pendidikan dan Pelatihan Pajak;2021
E-Learning Proses Bisnis DJP untuk Pegawai Inspektorat Jenderal;Pusat Pendidikan dan Pelatihan Pajak;2021
E-Learning Proses Bisnis Ekstensifikasi;Pusat Pendidikan dan Pelatihan Pajak;2022
E-learning Proses Bisnis Intelijen Perpajakan (Operational Intelligence);Pusat Pendidikan dan Pelatihan Pajak;2022
E-learning Proses Bisnis Keberatan dan Banding;Pusat Pendidikan dan Pelatihan Pajak;2022
E-learning Proses Bisnis Klaster Business Inteligence dan Compliance Risk Management;Pusat Pendidikan dan Pelatihan Pajak;2023
E-learning Proses Bisnis Klaster Keberatan dan Non-Keberatan;Pusat Pendidikan dan Pelatihan Pajak;2023
