nama_pelatihan;penyelenggara;tahun
Pelatihan Jarak Jauh Analis IDLP II;Pusat Pendidikan dan Pelatihan Pajak;2022
Pelatihan Jarak Jauh Analisis Laporan Keuangan Perpajakan II;Pusat Pendidikan dan Pelatihan Pajak;2022
Pelatihan Jarak Jauh Analisis Penggalian Potensi Berbasis Spasial;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Analitika Data Perpajakan;Pusat Pendidikan dan Pelatihan Pajak;2021
Pelatihan Jarak Jauh Calon Fungsional Pemeriksa Pajak;Pusat Pendidikan dan Pelatihan Pajak;2022
Pelatihan Jarak Jauh Crash Program Fungsional Penyuluh Pajak Dasar;Pusat Pendidikan dan Pelatihan Pajak;2021
Pelatihan Jarak Jauh Crash Program Jurusita Pajak;Pusat Pendidikan dan Pelatihan Pajak;2022
Pelatihan Jarak Jauh Data dan Informasi;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Double Tax Agreement;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Ekonomi Digital;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Eksekutif Pemeriksaan;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Encase Forensic Software;Pusat Pendidikan dan Pelatihan Pajak;2021
Pelatihan Jarak Jauh Fasilitas Perpajakan PPh Badan;Pusat Pendidikan dan Pelatihan Pajak;2023
Pelatihan Jarak Jauh Forensik Digital Perpajakan;Pusat Pendidikan dan Pelatihan Pajak;2021
Pelatihan Jarak Jauh Forensik Digital Perpajakan I;Pusat Pendidikan dan Pelatihan Pajak;2022
Pelatihan Jarak Jauh Forensik Digital Perpajakan II;Pusat Pendidikan dan Pelatihan Pajak;2021
Pelatihan Jarak Jauh Fungsional Asisten Penilai Pajak;Pusat Pendidikan dan Pelatihan Pajak;2022
Pelatihan Jarak Jauh Fungsional Asisten Penyuluh Pajak;Pusat Pendidikan dan Pelatihan Pajak;2022
Pelatihan Jarak Jauh Fungsional Asisten Penyuluh Pajak Dasar;Pusat Pendidikan dan Pelatihan Pajak;2021
Pelatihan Jarak Jauh Fungsional Pemeriksa Ahli;Pusat Pendidikan dan Pelatihan Pajak;2021
Pelatihan Jarak Jauh Fungsional Pemeriksa Dasar;Pusat Pendidikan dan Pelatihan Pajak;2021
Pelatihan Jarak Jauh Fungsional Pemeriksa Pajak di Lingkungan Kanwil DJP Jawa Tengah II dan Kanwil DJP Daerah Istimewa Yogyakarta;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Fungsional Pemeriksa Pajak II;Pusat Pendidikan dan Pelatihan Pajak;2022
Pelatihan Jarak Jauh Fungsional Pemeriksa Tinggi;Pusat Pendidikan dan Pelatihan Pajak;2021
Pelatihan Jarak Jauh Fungsional Penilai Pajak;Pusat Pendidikan dan Pelatihan Pajak;2022
Pelatihan Jarak Jauh Fungsional Penilai Pajak Ahli;Pusat Pendidikan dan Pelatihan Pajak;2021
Pelatihan Jarak Jauh Fungsional Penyuluh Pajak Dasar;Pusat Pendidikan dan Pelatihan Pajak;2021
Pelatihan Jarak Jauh Hukum Pajak;Pusat Pendidikan dan Pelatihan Pajak;2023
Pelatihan Jarak Jauh Jurusita Pajak;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Jurusita Pajak Daerah;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Jurusita Pajak II;Pusat Pendidikan dan Pelatihan Pajak;2022
Pelatihan Jarak Jauh Jurusita Pajak Lanjutan;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Kebijakan Perpajakan Terkini;Pusat Pendidikan dan Pelatihan Pajak;2021
Pelatihan Jarak Jauh Kertas Kerja Analisis Wajib Pajak;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Lanjutan Double Tax Agreement;Pusat Pendidikan dan Pelatihan Pajak;2021
Pelatihan Jarak Jauh Manajemen Data dan Informasi;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Manajemen Forensik Digital Perpajakan;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Manajemen Keberatan dan Banding;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Manajemen KP2KP;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Manajemen Pelayanan;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Manajemen Pemeriksaan, Penilaian, dan Penagihan;Pusat Pendidikan dan Pelatihan Pajak;2022
Pelatihan Jarak Jauh Manajemen Penagihan;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Manajemen Pengawasan dan Konsultasi (Waskon) Kewilayahan;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Manajemen Pengawasan dan Konsultasi I - Pelayanan;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Manajemen Pengawasan Kewilayahan;Pusat Pendidikan dan Pelatihan Pajak;2022
Pelatihan Jarak Jauh Manajemen Pengawasan Strategis;Pusat Pendidikan dan Pelatihan Pajak;2022
Pelatihan Jarak Jauh Manajemen Pengendalian Mutu Pemeriksaan;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Manajemen Penjaminan Kualitas Data Perpajakan;Pusat Pendidikan dan Pelatihan Pajak;2021
Pelatihan Jarak Jauh Metode dan Teknik Pemeriksaan untuk Penelaah Keberatan;Pusat Pendidikan dan Pelatihan Pajak;2023
Pelatihan Jarak Jauh Mitigasi Risiko Penilaian untuk Tujuan Perpajakan;Pusat Pendidikan dan Pelatihan Pajak;2023
Pelatihan Jarak Jauh Optimalisasi Pemanfaatan Data Sektor Kehutanan;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Optimalisasi Pemanfaatan Data Sektor Perikanan Tangkap;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Pajak Bumi dan Bangunan Perdesaan dan Perkotaan (PBB P2) Dasar;Pusat Pendidikan dan Pelatihan Pajak;2021
Pelatihan Jarak Jauh Pajak Dasar (Non D3 Pajak);Pusat Pendidikan dan Pelatihan Pajak;2021
Pelatihan Jarak Jauh Pajak Karbon;Pusat Pendidikan dan Pelatihan Pajak;2023
Pelatihan Jarak Jauh Pajak Menengah;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh PBB P2 dan BPHTB Tingkat Dasar;Pusat Pendidikan dan Pelatihan Pajak;2023
Pelatihan Jarak Jauh Pemanfaatan Data Keuangan untuk Wajib Pajak Orang Pribadi Prominen;Pusat Pendidikan dan Pelatihan Pajak;2022
Pelatihan Jarak Jauh Pemanfaatan Data Keuangan untuk WP Orang Pribadi Prominen;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Pemantauan dan Evaluasi Implementasi Kebijakan Perpajakan;Pusat Pendidikan dan Pelatihan Pajak;2023
Pelatihan Jarak Jauh Pembekalan Pejabat Administrator;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Pembekalan Pejabat I;Pusat Pendidikan dan Pelatihan Pajak;2022
Pelatihan Jarak Jauh Pembekalan Pejabat II;Pusat Pendidikan dan Pelatihan Pajak;2022
Pelatihan Jarak Jauh Pembekalan Pejabat Pengawas;Pusat Pendidikan dan Pelatihan Pajak;2021
Pelatihan Jarak Jauh Pembekalan Secondment di DJP-DJBC;Pusat Pendidikan dan Pelatihan Pajak;2022
Pelatihan Jarak Jauh Pembekalan Secondment DJBC-DJA;Pusat Pendidikan dan Pelatihan Pajak;2021
Pelatihan Jarak Jauh Pembekalan Secondment DJP-DJBC;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Pembekalan Secondment Inspektorat Jenderal;Pusat Pendidikan dan Pelatihan Pajak;2021
Pelatihan Jarak Jauh Pembekalan Secondment Perpajakan;Pusat Pendidikan dan Pelatihan Pajak;2022
Pelatihan Jarak Jauh Pemeriksa Menengah;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Pemeriksa Pajak Daerah;Pusat Pendidikan dan Pelatihan Pajak;2021
Pelatihan Jarak Jauh Pemeriksa Tinggi;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Pemeriksaan Batubara;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Pemeriksaan Bukti Permulaan;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Pemeriksaan Bukti Permulaan I;Pusat Pendidikan dan Pelatihan Pajak;2022
Pelatihan Jarak Jauh Pemeriksaan Bukti Permulaan II;Pusat Pendidikan dan Pelatihan Pajak;2022
Pelatihan Jarak Jauh Pemeriksaan Bukti Permulaan Tingkat Dasar;Pusat Pendidikan dan Pelatihan Pajak;2021
Pelatihan Jarak Jauh Pemeriksaan Bukti Permulaan Tingkat Lanjutan;Pusat Pendidikan dan Pelatihan Pajak;2021
Pelatihan Jarak Jauh Pemeriksaan Digital Ekonomi;Pusat Pendidikan dan Pelatihan Pajak;2021
Pelatihan Jarak Jauh Pemeriksaan Ekonomi Digital;Pusat Pendidikan dan Pelatihan Pajak;2023
Pelatihan Jarak Jauh Pemeriksaan Pajak Sektor Batubara;Pusat Pendidikan dan Pelatihan Pajak;2023
Pelatihan Jarak Jauh Pemeriksaan Pajak Sektor Jasa Keuangan;Pusat Pendidikan dan Pelatihan Pajak;2023
Pelatihan Jarak Jauh Pemeriksaan Pajak Sektor Jasa Konstruksi;Pusat Pendidikan dan Pelatihan Pajak;2023
Pelatihan Jarak Jauh Pemeriksaan Pajak Sektor Perdagangan;Pusat Pendidikan dan Pelatihan Pajak;2023
Pelatihan Jarak Jauh Pemeriksaan Pajak Sektor Perdagangan Farmasi;Pusat Pendidikan dan Pelatihan Pajak;2022
Pelatihan Jarak Jauh Pemeriksaan Pajak Sektor Usaha Pertambangan Nikel;Pusat Pendidikan dan Pelatihan Pajak;2022
Pelatihan Jarak Jauh Pemeriksaan Pajak Sektor Usaha Sawit;Pusat Pendidikan dan Pelatihan Pajak;2024
Pelatihan Jarak Jauh Pemeriksaan Pajak Sektor Usaha Tekstil;Pusat Pendidikan dan Pelatihan Pajak;2022
Pelatihan Jarak Jauh Pemeriksaan Real Estate;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Pemeriksaan Sawit;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Pemeriksaan Wajib Pajak Kontraktor Kontrak Kerja Sama Minyak dan Gas Bumi ;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Pemetaan, Penilaian NJOP, dan Penilaian Properti Kriteria I;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Penagihan Pajak dengan Surat Paksa;Pusat Pendidikan dan Pelatihan Pajak;2023
Pelatihan Jarak Jauh Penanganan Data Elektronik bagi Pelaksana Administrasi Bukti Permulaan dan Penyidikan;Pusat Pendidikan dan Pelatihan Pajak;2023
Pelatihan Jarak Jauh Penanganan Perkara DJP-DJBC;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Penanganan Sengketa Pajak Ekonomi Digital;Pusat Pendidikan dan Pelatihan Pajak;2022
Pelatihan Jarak Jauh Penelaah Keberatan;Pusat Pendidikan dan Pelatihan Pajak;2022
Pelatihan Jarak Jauh Penelaah Keberatan Dasar;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Penelaah Keberatan II;Pusat Pendidikan dan Pelatihan Pajak;2022
Pelatihan Jarak Jauh Penelaah Keberatan Lanjutan;Pusat Pendidikan dan Pelatihan Pajak;2021
Pelatihan Jarak Jauh Penelaah Keberatan Menengah;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Pengawasan Pajak Ekonomi Digital;Pusat Pendidikan dan Pelatihan Pajak;2022
Pelatihan Jarak Jauh Penggalian Potensi Berbasis Data Spasial;Pusat Pendidikan dan Pelatihan Pajak;2022
Pelatihan Jarak Jauh Penggalian Potensi Pajak Sektor Perkebunan Kelapa Sawit;Pusat Pendidikan dan Pelatihan Pajak;2024
Pelatihan Jarak Jauh Penggalian Potensi Pertambangan Nikel;Pusat Pendidikan dan Pelatihan Pajak;2022
Pelatihan Jarak Jauh Penguasaan Wilayah Dengan Optimalisasi Media Internet ;Pusat Pendidikan dan Pelatihan Pajak;2021
Pelatihan Jarak Jauh Penilai Pajak;Pusat Pendidikan dan Pelatihan Pajak;2021
Pelatihan Jarak Jauh Penilaian Bisnis dan Aset Tidak Berwujud Terkait Ekonomi Digital bagi Pejabat Fungsional Penilai Pajak;Pusat Pendidikan dan Pelatihan Pajak;2023
Pelatihan Jarak Jauh Penjenjangan Fungsional Penyuluh Pajak ;Pusat Pendidikan dan Pelatihan Pajak;2023
Pelatihan Jarak Jauh Penyidikan Tindak Pidana Pencucian Uang Yang Tindak Pidana Asalnya Tindak Pidana Di Bidang Perpajakan;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Penyuluh Perpajakan;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Perpajakan Internasional dan PSIAP untuk Widyaiswara ;Pusat Pendidikan dan Pelatihan Pajak;2022
Pelatihan Jarak Jauh Perpajakan untuk Pegawai Non DJP (Inspektorat Jenderal);Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Perpajakan untuk Pegawai Pusat Pembinaan Profesi Keuangan (PPPK) ;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Pertambangan Batubara;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Petugas Pemeriksa Pajak (P3);Pusat Pendidikan dan Pelatihan Pajak;2021
Pelatihan Jarak Jauh Petugas Penegakan Hukum;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Petugas Tempat Pelayanan Terpadu;Pusat Pendidikan dan Pelatihan Pajak;2021
Pelatihan Jarak Jauh Prosedur Penanganan Dokumen Elektronik bagi Penyidik Pegawai Negeri Sipil (PPNS);Pusat Pendidikan dan Pelatihan Pajak;2022
Pelatihan Jarak Jauh Sistem Informasi Geografis;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Strategi dan Teknik Pengawasan Guna Menyediakan Formulasi Rekomendasi Kebijakan;Pusat Pendidikan dan Pelatihan Pajak;2023
Pelatihan Jarak Jauh Tax Treaty Tingkat Dasar;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Teknik Audit Berbantuan Komputer Perpajakan (TABK-Perpajakan);Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak jauh Trainer Penagihan Pajak Daerah;Pusat Pendidikan dan Pelatihan Pajak;2023
Pelatihan Jarak Jauh Transfer Pricing Bagi Inspektorat Jenderal;Pusat Pendidikan dan Pelatihan Pajak;2023
Pelatihan Jarak Jauh Transfer Pricing Dasar;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Jarak Jauh Transfer Pricing Dasar untuk Pegawai Inspektorat Jenderal;Pusat Pendidikan dan Pelatihan Pajak;2021
Pelatihan Jarak Jauh Transfer Pricing I;Pusat Pendidikan dan Pelatihan Pajak;2022
Pelatihan Jarak Jauh Transfer Pricing I bagi Fungsional Penilai Pajak;Pusat Pendidikan dan Pelatihan Pajak;2023
Pelatihan Jarak Jauh Transfer Pricing II;Pusat Pendidikan dan Pelatihan Pajak;2022
Pelatihan Jarak Jauh Transfer Pricing Lanjutan;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Master Trainer Aplikasi Sistem Inti Administrasi Perpajakan (SIAP) Modul Document Management System dan Data Quality Management;Pusat Pendidikan dan Pelatihan Pajak;2023
Pelatihan Master Trainer Aplikasi Sistem Inti Administrasi Perpajakan (SIAP) Modul Keberatan dan Banding dan Non-Keberatan;Pusat Pendidikan dan Pelatihan Pajak;2023
Pelatihan Master Trainer Aplikasi Sistem Inti Administrasi Perpajakan (SIAP) Modul Knowledge Management;Pusat Pendidikan dan Pelatihan Pajak;2023
Pelatihan Master Trainer Aplikasi Sistem Inti Administrasi Perpajakan (SIAP) Modul Operational Intelligence dan Criminal Investigation;Pusat Pendidikan dan Pelatihan Pajak;2023
Pelatihan Master Trainer Aplikasi Sistem Inti Administrasi Perpajakan (SIAP) Modul Pengawasan, Pemeriksaan dan TAM-PR;Pusat Pendidikan dan Pelatihan Pajak;2023
Pelatihan Master Trainer Aplikasi Sistem Inti Administrasi Perpajakan (SIAP) Modul Pengelolaan SPT;Pusat Pendidikan dan Pelatihan Pajak;2023
Pelatihan Master Trainer Aplikasi Sistem Inti Administrasi Perpajakan (SIAP) Modul Penilaian;Pusat Pendidikan dan Pelatihan Pajak;2023
Pelatihan Master Trainer Aplikasi Sistem Inti Administrasi Perpajakan (SIAP) Modul Registrasi dan Ekstensifikasi;Pusat Pendidikan dan Pelatihan Pajak;2023
Pelatihan Master Trainer Aplikasi Sistem Inti Administrasi Perpajakan (SIAP) Modul TAM-RAS, Penagihan, dan Pembayaran;Pusat Pendidikan dan Pelatihan Pajak;2023
Pelatihan Master Trainer Aplikasi Sistem Inti Administrasi Perpajakan (SIAP) Modul Tester;Pusat Pendidikan dan Pelatihan Pajak;2023
Pelatihan Master Trainer Aplikasi Sistem Inti Administrasi Perpajakan (SIAP) Modul Third Party Data Processing dan Exchange of Information;Pusat Pendidikan dan Pelatihan Pajak;2023
Pelatihan Master Trainer Sistem Inti Administrasi (SIAP) Modul Pendaftaran, Pengelolaan SPT,  Pembayaran, dan TAM;Pusat Pendidikan dan Pelatihan Pajak;2023
Pelatihan Penilaian untuk Optimalisasi Penerimaan Pajak Daerah dan Pajak Pusat;Pusat Pendidikan dan Pelatihan Pajak;2023
Pelatihan Platform Investigasi Forensik Digital Perpajakan;Pusat Pendidikan dan Pelatihan Pajak;2024
Pelatihan Teknik Beracara di Pengadilan Pajak;Pusat Pendidikan dan Pelatihan Pajak;2024
Pelatihan Teknik Beracara di Pengadilan Pajak (Blended Learning);Pusat Pendidikan dan Pelatihan Pajak;2022
Pelatihan Teknik Pengumpulan Data dan Informasi secara Elektronik;Pusat Pendidikan dan Pelatihan Pajak;2023
Pelatihan Teknis  Manajemen Penegakan Hukum;Pusat Pendidikan dan Pelatihan Pajak;2018
Pelatihan Teknis Account Representative Dasar;Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Account Representative Dasar E-Learning;Pusat Pendidikan dan Pelatihan Pajak;2018
Pelatihan Teknis Account Representative Ekstensifikasi;Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Ahli Perpajakan;Pusat Pendidikan dan Pelatihan Pajak;2018
Pelatihan Teknis Akuntansi Pajak Dasar;Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Analis IDLP Dasar;Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Analis IDLP Lanjutan;Pusat Pendidikan dan Pelatihan Pajak;2018
Pelatihan Teknis Analisis Laporan Keuangan dan Surat Pemberitahuan (ALK dan SPT) Dasar;Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Aplikasi DJP;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Teknis Bersama Aparat Penegak Hukum Dalam Penanganan Perkara Tindak Pidana Perpajakan;Pusat Pendidikan dan Pelatihan Pajak;2021
Pelatihan Teknis Bersama Aparat Penegak Hukum dalam Penanganan Perkara Tindak Pidana Perpajakan (Crash Program);Pusat Pendidikan dan Pelatihan Pajak;2023
Pelatihan Teknis Cooperative Compliance and Indirect Taxes and Customs Issues in Digital Economy;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Teknis Ekonomi Digital;Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Ekonomi Digital-IBFD-CapaBuild;Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Forensik Digital Perpajakan;Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Forensik Digital Perpajakan I;Pusat Pendidikan dan Pelatihan Pajak;2024
Pelatihan Teknis Forensik Digital Perpajakan Menengah;Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Hukum Pajak Dasar;Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Juru Sita Pajak Daerah ;Pusat Pendidikan dan Pelatihan Pajak;2018
Pelatihan Teknis Juru Sita Pajak Daerah Kerja Sama Program Diklat Pusdiklat Pajak – BPPK dengan Pemerintah Provinsi Nusa Tenggara Barat Tahun 2018;Pusat Pendidikan dan Pelatihan Pajak;2018
Pelatihan Teknis Jurusita Pajak;Pusat Pendidikan dan Pelatihan Pajak;2018
Pelatihan Teknis Jurusita Pajak Daerah KSPD;Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Jurusita Pajak Daerah Pemerintah Provinsi Kepulauan Riau;Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Jurusita Pajak Lanjutan ;Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Ketentuan Umum dan Tata Cara Perpajakan (KUP) Dasar;Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Manajemen Data dan Informasi ;Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Manajemen Ekstensifikasi dan Penyuluhan;Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Manajemen KP2KP;Pusat Pendidikan dan Pelatihan Pajak;2018
Pelatihan Teknis Manajemen Pelayanan;Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Manajemen Pemeriksaan;Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Manajemen Pengawasan dan Konsultasi I (Pelayanan);Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Manajemen PPNS;Pusat Pendidikan dan Pelatihan Pajak;2021
Pelatihan Teknis Operator Console Pajak;Pusat Pendidikan dan Pelatihan Pajak;2018
Pelatihan Teknis Operator Console Pajak Lanjutan;Pusat Pendidikan dan Pelatihan Pajak;2018
Pelatihan Teknis Orientasi Pegawai DJP (Khusus);Pusat Pendidikan dan Pelatihan Pajak;2018
Pelatihan Teknis Orientasi untuk Pegawai Pajak;Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Orientasi untuk Pegawai Pajak (Khusus);Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Teknis Pajak Dasar;Pusat Pendidikan dan Pelatihan Pajak;2018
Pelatihan Teknis Pajak Dasar untuk Pegawai DJBC (e-learning);Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Pajak Menengah ;Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Pajak Penghasilan (PPh) Dasar;Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Pajak Pertambahan Nilai dan Pajak Penjualan atas Barang Mewah (PPN dan PPn BM) Dasar;Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis PBB P2 Dasar;Pusat Pendidikan dan Pelatihan Pajak;2018
Pelatihan Teknis Pelaporan SPT Tahunan bagi ASN;Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Pembekalan Eselon IV;Pusat Pendidikan dan Pelatihan Pajak;2018
Pelatihan Teknis Pembekalan Pejabat Administrator;Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Pembekalan Pejabat Eselon III;Pusat Pendidikan dan Pelatihan Pajak;2018
Pelatihan Teknis Pembekalan Pejabat Pengawas;Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Pemeriksa Pajak Daerah;Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Pemeriksaan Bukti Permulaan;Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Pemetaan, Penilaian NJOP, dan Penilaian Properti Kriteria I;Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Pemotongan dan Pemungutan Pajak Penghasilan (Potput PPh) Dasar;Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Penelaah Keberatan Dasar;Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Penelaah Keberatan Menengah;Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Penggalian Potensi Pajak (ALK & SPT);Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Pengumpulan Data dan/atau Informasi;Pusat Pendidikan dan Pelatihan Pajak;2022
Pelatihan Teknis Pengumpulan Data dan/atau Informasi Dasar;Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Pengumpulan Data dan/atau Informasi Dasar Bagi Manajemen Eksekutif;Pusat Pendidikan dan Pelatihan Pajak;2021
Pelatihan Teknis Penilai Pajak;Pusat Pendidikan dan Pelatihan Pajak;2018
Pelatihan Teknis Penilaian Properti, Pajak Bumi, dan Bangunan (PBB) P3L, dan Bea Materai Dasar;Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Penyidikan Tindak Pidana Pencucian Uang yang Tindak Pidana Asalnya Tindak Pidana di Bidang Perpajakan;Pusat Pendidikan dan Pelatihan Pajak;2018
Pelatihan Teknis Penyuluh Perpajakan;Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Perpajakan dalam Rangka Penyusunan Kebijakan Pajak Daerah;Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Perpajakan Internasional Dasar;Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Perpajakan Internasional Tingkat Dasar;Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Perpajakan untuk Pegawai non DJP;Pusat Pendidikan dan Pelatihan Pajak;2018
Pelatihan Teknis Perpajakan untuk Pegawai Non DJP (Inspektorat Jenderal);Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Petugas Pemeriksa Pajak (P3);Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Petugas Penegakan Hukum;Pusat Pendidikan dan Pelatihan Pajak;2018
Pelatihan Teknis Petugas Tempat Pelayanan Terpadu;Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Proses Bisnis DJP;Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Proses Bisnis DJP untuk Pegawai Inspektorat Jenderal;Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Tax Treaty Tingkat Dasar;Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Teknik Audit Berbantuan Komputer (TABK) Perpajakan;Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Teknik Audit Berbantuan Komputer Perpajakan bagi Pegawai Inspektorat Jenderal Kementerian Keuangan;Pusat Pendidikan dan Pelatihan Pajak;2018
Pelatihan Teknis Tindak Pidana Perpajakan (Untuk Hakim, Jaksa, Polisi, dan Penyidik);Pusat Pendidikan dan Pelatihan Pajak;2019
Pelatihan Teknis Transfer Pricing Dasar;Pusat Pendidikan dan Pelatihan Pajak;2020
Pelatihan Teknis Transfer Pricing Tingkat Dasar Kerjasama DJP dan OECD;Pusat Pendidikan dan Pelatihan Pajak;2019
